Original_Entry_ID,pXC50,Gene_Symbol,SMILES
CHEMBL175513,6.73,EGFR,C1=2C(=C(C#N)C=NC1=CC(=C(C2)NC(/C=C/CN(C)C)=O)OCC)NC3=CC(Cl)=C(C=C3)OCC4=NC=5C=CC=CC5S4
CHEMBL268868,6.8,EGFR,C=1C=C(NC2=C(NC3=CC=CC=C3)C=C4C(NC(C4=C2)=O)=O)C=CC1
44416433,5.92082,EGFR,BrC=1C=C(OC2=NC=NC=3OC=4C(CN(C32)C)=CC(OC)=C(OC)C4)C=CC1
CHEMBL1173813,6.47,EGFR,C1C(C2=CC(=C(C=C2)C)C)=NN(C(N)=S)C1C3=CC=C(C=C3)C
CHEMBL2000335,5.7,EGFR,S1C2=NC=NC(N)=C2C(C3=CC=C(NC(=O)NC4=CC(=C(C=C4)C)C)C=C3)=C1
CHEMBL225519,5.7,EGFR,C1C=2NC(=CC2C(NC1)=O)C=3C=CN=CC3
CHEMBL365606,6.7,EGFR,C=1(C(=C2C(=NC=NN2C1)NC3=CC=4C=NN(C4C=C3)CC=5C=CC=CC5)C(C)C)C(=O)OCC
10068517,9.17005,EGFR,BrC=1C=C(NC2=NC=NC3=C2C=CC(NC(=O)/C=C/C)=C3)C=CC1
CHEMBL2424795,5.47,EGFR,N=1C=NC(=C2C=C(C=CC12)NCC3=CC=CS3)NC4=CC(=CC=C4)Cl
CHEMBL470011,8.0,EGFR,N1=C(NC=2C=CC(=CC2)CN3CCCCC3)SC4=C1N=CN=C4NC=5C=C(C(=CC5)F)Cl
11566580,9.52288,EGFR,ClC1=CC(NC=2N=CN=C3C2C=C(N=C3)NC(=O)C#CC)=CC=C1F
23589545,6.92082,EGFR,O(C(=O)C=1C(=C2N(N=CN=C2NC=3C=C4C(N(N=C4)CC5=CC=CC=C5)=CC3)C1)CC)CC
CHEMBL1257998,5.64,EGFR,[C@H]1(CC[C@H](CC1)N2CCN(CC2)C)N3C=4N=CN=C(C4C(=N3)C=5C=CC(=CC5)NC=6OC7=C(N6)C=CC=C7Cl)N
CHEMBL135902,8.0,EGFR,C1=2C(=NC=NC1=CC(=C(C2)OC)OC)SC3=CC(Cl)=CC=C3
CHEMBL328244,6.24,EGFR,C1(=C2C(C=CC(=C2)N)=NC=N1)NC=3C=C(C(F)(F)F)C=CC3
653297,,EGFR,S1C(C2=NN(C3=NC(=O)N(C(=O)C3=N2)C)CC)=CC=C1
CHEMBL271328,8.63,EGFR,C1(=NC=C2C(=N1)C(=NC=N2)NC=3C=C(C=CC3)Br)NCCN4C=CN=C4
CHEMBL2029440,8.82,EGFR,N1=C(N=C2N(C=3C=CC=C(NC(C=C)=O)C3)C(=O)N(C4=CC=C(C=C4)OC5=CC=CC=C5)CC2=C1)NC6=C(OC)C=C(N7CCN(CC7)C)C=C6
CHEMBL54475,6.16,EGFR,C=1(C=2C(=NC=CC2)N=CN1)NC=3C=C(Br)C=CC3
CHEMBL247468,6.4,EGFR,N1=CN=C2OC(=C(C2=C1NCCN3CCNCC3)C4=CC=CC=C4)C=5C=CC(=CC5)OCCN6CCCC6
CHEMBL451074,6.64,EGFR,N1=CN=C(NC=2C=C3C(=CC2)N(N=C3)S(C4=CC=CC(=C4)F)(=O)=O)C5=C1C=C(C#C[C@@H]6C[C@H](CN6)OC(N7CCOCC7)=O)S5
CHEMBL158805,5.28,EGFR,C1(=C(C2=CC=CC=C2N1C)C(NCC=3C=CC(C(=O)O)=CC3)=O)SSC4=C(C=5C=CC=CC5N4C)C(NCC6=CC=C(C(=O)O)C=C6)=O
CHEMBL500591,7.57,EGFR,N=1C(NC=2C=CC(OCC3=CC=CC=C3)=C(C2)Cl)=C(C(N)=NC1)C#N
CHEMBL3216254,5.72,EGFR,N1(CCCCCC2=CC=C(C=C2)N(C)C)C3=C(C=4C=C(C=CC14)OCCC5=CC=C(C=C5)O)CC(CC3)N
5328321,8.82102,EGFR,BrC=1C=C(NC2=NC=NC=3C2=CN=C(NCC(O)=O)C3)C=CC1
CHEMBL1645471,7.3,EGFR,N=1N2C=CC(CN3CCC(CC3)N)=C2C(=NC1)NC=4C=CC(=CC4)C
CHEMBL347854,4.54,EGFR,C1(=C(NC=2C1=CC=CC2)SSC3=C(S(C4=CC=C(C=C4)C)(=O)=O)C5=CC=CC=C5N3)S(C6=CC=C(C=C6)C)(=O)=O
CHEMBL1630118,8.66,EGFR,C=1(C=C2C(=NC=NC2=CC1)NC=3C=CC(OCC4=CC(=CC=C4)F)=C(Cl)C3)C5=CC=C(S5)C(O)=NO
CHEMBL403183,4.6,EGFR,C=1C=C(S(/C=C/C#N)(=O)=O)C=CC1C
CHEMBL592427,5.65,EGFR,C=1(C=CC=C(CN(C(NC=2C=CC=CC2)=O)CC=3C=CC(=CC3)F)C1O)Br
CHEMBL318892,6.77,EGFR,CN1CCC(CC1)N2C=NC(=C2C=3C=CN=C(NC=4C=CC=CC4)N3)C5=CC=C(F)C=C5
CHEMBL78280,5.4,EGFR,C=1(C=C(C=CC1OS(=O)(=O)C=2C=CC(=CC2)C(NC)=O)/C=C(/N(=O)=O)\C)OC
CHEMBL2004438,5.7,EGFR,FC(F)(F)C1=CC(NC(=O)NC2=CC=C(C3=C(N)C4=NC=CN=C4C=C3)C=C2)=CC=C1
CHEMBL1956889,3.95,EGFR,N1=C(N=C2N(C=CC2=C1NC3=CC=CC(=C3)Br)CC4=C(C=CC=C4)C)N
CHEMBL214999,4.2,EGFR,N1=CN=C2C(=C1NC=3C(=C(C=CC3)Cl)F)NCC=4C=C(C(OC)=CC4S2)OC
CHEMBL3263964,7.03,EGFR,C=1(C=C(C=CC1)C2=CSC=C2)S(=O)(=O)NC3=CC(=C(C=C3)OC=4C=CN=C5C=C(C(=CC45)OC)OCCCN6CCN(CC6)C)F
CHEMBL599894,4.6,EGFR,O=C1C=2C=CC=CC2C3=NC4=NN=NN4N=C13
CHEMBL475352,5.59,EGFR,C1=C(NC2=NC=NC3=C2N=CN3)C=CC(C4=NC=5C=CC=CC5S4)=C1OC
CHEMBL3099673,6.6,EGFR,C=1C=NC2=C(C1)C(=C(N2)C=3C(N=C4C3C=CC=N4)=O)O
CHEMBL112096,6.44,EGFR,C=1(C=2C(=CC(=C(C2)OC)OC)N=CC1C#N)NC3=C(C(C)C)C=CC=C3
CHEMBL1278149,5.23,EGFR,C1(=C(C=C2C(=C1)C(OC3=CC(=C(C=C3)Br)F)=NC=N2)OC)OC
CHEMBL410456,4.6,EGFR,C=1C=C(N=CC1)C=2N=C(C3=CC=C(C=C3)C(N)=O)NC2C4=CC5=C(C=C4)OCCO5
11713043,8.82391,EGFR,BrC1=CC(NC=2N=CN=C3C2C=C(NC(=O)C#CCCN4CCOCC4)N=C3)=CC=C1F
CHEMBL1996931,5.7,EGFR,ClC1=CC=C(CC(NC(=O)C2=CC=C(C=3C=CN=CC3)C=C2)CO)C=C1
73352604,6.2,EGFR,S1C(NC2=NC(NC3CCC(O)CC3)=NC(=C2)CC4=CC=CC=C4)=NC5=C1C=C(CC)C=C5
CHEMBL2441273,6.2,EGFR,[C@H]1(CC[C@H](CC1)NC=2N=C(C=C(N2)CC=3C=CC=CC3)NC=4SC=5C(N4)=CC=C(C5)CC)O
CHEMBL593294,6.64,EGFR,C1(OCCCN2CCN(CC2)C)=C(C=C3C(=C1)C(NC=4C=CC(C=5SC6=C(C=CC=C6)N5)=CC4O)=NC=N3)OC
CHEMBL408351,5.32,EGFR,N=1C=CC=2C(C1)=C(NC=3C(=CC(=CC3)C(F)(F)F)N)N=CN2
CHEMBL380247,7.74,EGFR,C(NCCS(=O)(=O)C)C1=CC=C(C2=CC=3C(C=C2)=NC=NC3NC4=CC(=C(C=C4)OCC5=CC=CC=C5)Cl)O1
CHEMBL2283259,4.53,EGFR,C1=CC=CC(=C1)/C=C/C(NC(C)(C)C)=O
CHEMBL61119,5.28,EGFR,C1(=C(C=2C=C(OC(=O)C)C=CC2N1C)C(NC3=CC=CC=C3)=O)SSC4=C(C5=CC(OC(=O)C)=CC=C5N4C)C(NC=6C=CC=CC6)=O
CHEMBL1171822,4.71,EGFR,C1C(C2=CC(=C(C=C2)Cl)Cl)=NN(C(C)=O)C1C3=CC=C(C=C3)C
CHEMBL266487,4.6,EGFR,C1(=C(C2=CNC3=C2C=CC=C3)C(=O)NC1=O)C4=CNC5=C4C=CC=C5
CHEMBL232082,6.77,EGFR,C=1N2C(C(=NC=N2)NC=3C=C4C(=CC3)N(N=C4)CC5=CC(=CC=C5)F)=C(C1)CN6CCN(CC6)C
CHEMBL1828883,4.48,EGFR,C(CC=1C=CC(=CC1)OC)(=O)NS(C=2C=CC(=CC2)Cl)(=O)=O
CHEMBL500640,6.85,EGFR,C1[C@@H](C[C@@H](C#CC=2SC3=C(C2)N=CN=C3NC=4C=CC(=C(C4)Cl)OCC5=CC=CC(=C5)F)N1)OC(=O)OCC
CHEMBL2031307,9.17,EGFR,C(CCN(C)C)(=O)NC=1C=C2C(=C(C=NC2=CC1OCC)C#N)NC=3C=C(C(=CC3)F)Cl
CHEMBL335718,5.89,EGFR,[C@]12(N3C4=C5C(C6=C(N5[C@@H](O1)C[C@@H]([C@@H]2OC)N(CC(O)CCCC)C)C=CC=C6)=C7C(=C4C8=C3C=CC=C8)CNC7=O)C
CHEMBL422066,6.37,EGFR,C1=2C(=NC=NC1=CC(=C(C2)OC)OC)NNC=3C=C(Cl)C(=CC3)F
CHEMBL2437461,5.96,EGFR,C=1C=C(C=CC1NC2=NC3=C(C=N2)N=CC(N3C=4C=CC(=CC4)NC(=O)C=C)=O)N5CCN(CC5)C
72735049,6.48017,EGFR,ClC=1C=C(NC2=NC=NC3=CC(O[C@H]4CCOC4)=C(NC(=O)N5CCN(CC5)CCO)C=C32)C=CC1F
70684613,6.20066,EGFR,BrC1=CC(NC2=NC=NC=3C2=CC(NCC4=CC=5OCOC5C=C4)=CC3)=CC=C1
CHEMBL525725,7.31,EGFR,C1=CC(NC2=NC=NC(=C2/C=N/C3=CC=C(C=C3)OC)N)=CC=4C=NN(C41)CC5=CC=CC(F)=C5
CHEMBL153525,8.91,EGFR,C=1(C=2C=3NC=CC3C=CC2N=CN1)NC4=CC(Br)=CC=C4
